Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Year,Disaster Type,Iso,Country Name,Occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage
Algeria,DZA,"Population, total",SP.POP.TOTL,"11,124,892","11,404,859","11,690,152","11,985,130","12,295,973","12,626,953","12,980,269","13,354,197","13,744,383","14,144,437","14,550,033","14,960,111","15,377,095","15,804,428","16,247,113","16,709,098","17,190,236","17,690,184","18,212,331","18,760,761","19,337,723","19,943,667","20,575,701","21,228,288","21,893,857","22,565,908","23,241,276","23,917,889","24,591,493","25,257,671","25,912,364","26,554,277","27,180,921","27,785,977","28,362,015","28,904,300","29,411,839","29,887,717","30,336,880","30,766,551","31,183,658","31,590,320","31,990,387","32,394,886","32,817,225","33,267,887","33,749,328","34,261,971","34,811,059","35,401,790","36,036,159","36,717,132","37,439,427","38,186,135","38,934,334","39,666,519",null,1963,Flood,DZA,Algeria,1,null,null,45400,null,45400,null
Algeria,DZA,"Population, total",SP.POP.TOTL,"11,124,892","11,404,859","11,690,152","11,985,130","12,295,973","12,626,953","12,980,269","13,354,197","13,744,383","14,144,437","14,550,033","14,960,111","15,377,095","15,804,428","16,247,113","16,709,098","17,190,236","17,690,184","18,212,331","18,760,761","19,337,723","19,943,667","20,575,701","21,228,288","21,893,857","22,565,908","23,241,276","23,917,889","24,591,493","25,257,671","25,912,364","26,554,277","27,180,921","27,785,977","28,362,015","28,904,300","29,411,839","29,887,717","30,336,880","30,766,551","31,183,658","31,590,320","31,990,387","32,394,886","32,817,225","33,267,887","33,749,328","34,261,971","34,811,059","35,401,790","36,036,159","36,717,132","37,439,427","38,186,135","38,934,334","39,666,519",null,1965,Earthquake,DZA,Algeria,1,2,350,37000,12000,49350,2000000
Algeria,DZA,"Population, total",SP.POP.TOTL,"11,124,892","11,404,859","11,690,152","11,985,130","12,295,973","12,626,953","12,980,269","13,354,197","13,744,383","14,144,437","14,550,033","14,960,111","15,377,095","15,804,428","16,247,113","16,709,098","17,190,236","17,690,184","18,212,331","18,760,761","19,337,723","19,943,667","20,575,701","21,228,288","21,893,857","22,565,908","23,241,276","23,917,889","24,591,493","25,257,671","25,912,364","26,554,277","27,180,921","27,785,977","28,362,015","28,904,300","29,411,839","29,887,717","30,336,880","30,766,551","31,183,658","31,590,320","31,990,387","32,394,886","32,817,225","33,267,887","33,749,328","34,261,971","34,811,059","35,401,790","36,036,159","36,717,132","37,439,427","38,186,135","38,934,334","39,666,519",null,1966,Flood,DZA,Algeria,1,57,12,20000,15900,35912,10000000
Algeria,DZA,"Population, total",SP.POP.TOTL,"11,124,892","11,404,859","11,690,152","11,985,130","12,295,973","12,626,953","12,980,269","13,354,197","13,744,383","14,144,437","14,550,033","14,960,111","15,377,095","15,804,428","16,247,113","16,709,098","17,190,236","17,690,184","18,212,331","18,760,761","19,337,723","19,943,667","20,575,701","21,228,288","21,893,857","22,565,908","23,241,276","23,917,889","24,591,493","25,257,671","25,912,364","26,554,277","27,180,921","27,785,977","28,362,015","28,904,300","29,411,839","29,887,717","30,336,880","30,766,551","31,183,658","31,590,320","31,990,387","32,394,886","32,817,225","33,267,887","33,749,328","34,261,971","34,811,059","35,401,790","36,036,159","36,717,132","37,439,427","38,186,135","38,934,334","39,666,519",null,1967,Flood,DZA,Algeria,1,20,null,30000,null,30000,3000000
Algeria,DZA,"Population, total",SP.POP.TOTL,"11,124,892","11,404,859","11,690,152","11,985,130","12,295,973","12,626,953","12,980,269","13,354,197","13,744,383","14,144,437","14,550,033","14,960,111","15,377,095","15,804,428","16,247,113","16,709,098","17,190,236","17,690,184","18,212,331","18,760,761","19,337,723","19,943,667","20,575,701","21,228,288","21,893,857","22,565,908","23,241,276","23,917,889","24,591,493","25,257,671","25,912,364","26,554,277","27,180,921","27,785,977","28,362,015","28,904,300","29,411,839","29,887,717","30,336,880","30,766,551","31,183,658","31,590,320","31,990,387","32,394,886","32,817,225","33,267,887","33,749,328","34,261,971","34,811,059","35,401,790","36,036,159","36,717,132","37,439,427","38,186,135","38,934,334","39,666,519",null,1969,Flood,DZA,Algeria,1,76,237,200000,null,200237,10000000
Algeria,DZA,"Population, total",SP.POP.TOTL,"11,124,892","11,404,859","11,690,152","11,985,130","12,295,973","12,626,953","12,980,269","13,354,197","13,744,383","14,144,437","14,550,033","14,960,111","15,377,095","15,804,428","16,247,113","16,709,098","17,190,236","17,690,184","18,212,331","18,760,761","19,337,723","19,943,667","20,575,701","21,228,288","21,893,857","22,565,908","23,241,276","23,917,889","24,591,493","25,257,671","25,912,364","26,554,277","27,180,921","27,785,977","28,362,015","28,904,300","29,411,839","29,887,717","30,336,880","30,766,551","31,183,658","31,590,320","31,990,387","32,394,886","32,817,225","33,267,887","33,749,328","34,261,971","34,811,059","35,401,790","36,036,159","36,717,132","37,439,427","38,186,135","38,934,334","39,666,519",null,1973,Flood,DZA,Algeria,1,21,null,85000,61000,146000,10000000
Algeria,DZA,"Population, total",SP.POP.TOTL,"11,124,892","11,404,859","11,690,152","11,985,130","12,295,973","12,626,953","12,980,269","13,354,197","13,744,383","14,144,437","14,550,033","14,960,111","15,377,095","15,804,428","16,247,113","16,709,098","17,190,236","17,690,184","18,212,331","18,760,761","19,337,723","19,943,667","20,575,701","21,228,288","21,893,857","22,565,908","23,241,276","23,917,889","24,591,493","25,257,671","25,912,364","26,554,277","27,180,921","27,785,977","28,362,015","28,904,300","29,411,839","29,887,717","30,336,880","30,766,551","31,183,658","31,590,320","31,990,387","32,394,886","32,817,225","33,267,887","33,749,328","34,261,971","34,811,059","35,401,790","36,036,159","36,717,132","37,439,427","38,186,135","38,934,334","39,666,519",null,1974,Flood,DZA,Algeria,1,11,null,20000,null,20000,30000000
American Samoa,ASM,"Population, total",SP.POP.TOTL,"20,012","20,478","21,118","21,883","22,701","23,518","24,320","25,116","25,886","26,615","27,292","27,916","28,490","29,014","29,491","29,932","30,325","30,690","31,105","31,670","32,456","33,488","34,740","36,165","37,687","39,247","40,835","42,448","44,049","45,591","47,044","48,379","49,597","50,725","51,807","52,874","53,926","54,942","55,899","56,768","57,522","58,176","58,729","59,117","59,262","59,117","58,648","57,904","57,031","56,226","55,636","55,316","55,227","55,302","55,434","55,538",null,1966,Storm,ASM,American Samoa,1,90,null,null,null,null,null
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,"54,681","55,403","56,311","57,368","58,500","59,653","60,818","62,002","63,176","64,307","65,369","66,338","67,205","67,972","68,655","69,253","69,782","70,223","70,508","70,553","70,301","69,750","68,950","67,958","66,863","65,744","64,605","63,484","62,538","61,967","61,906","62,412","63,434","64,868","66,550","68,349","70,245","72,232","74,206","76,041","77,648","78,972","80,030","80,904","81,718","82,565","83,467","84,397","85,350","86,300","87,233","88,152","89,069","89,985","90,900","91,818",null,1960,Storm,ATG,Antigua and Barbuda,1,2,null,null,null,null,null
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,"54,681","55,403","56,311","57,368","58,500","59,653","60,818","62,002","63,176","64,307","65,369","66,338","67,205","67,972","68,655","69,253","69,782","70,223","70,508","70,553","70,301","69,750","68,950","67,958","66,863","65,744","64,605","63,484","62,538","61,967","61,906","62,412","63,434","64,868","66,550","68,349","70,245","72,232","74,206","76,041","77,648","78,972","80,030","80,904","81,718","82,565","83,467","84,397","85,350","86,300","87,233","88,152","89,069","89,985","90,900","91,818",null,1966,Storm,ATG,Antigua and Barbuda,1,null,null,null,null,null,null
Argentina,ARG,"Population, total",SP.POP.TOTL,"20,619,075","20,953,079","21,287,682","21,621,845","21,953,926","22,283,389","22,608,747","22,932,201","23,261,273","23,605,992","23,973,062","24,366,442","24,782,950","25,213,388","25,644,505","26,066,975","26,477,153","26,878,567","27,277,742","27,684,530","28,105,889","28,543,366","28,993,989","29,454,739","29,920,907","30,388,781","30,857,242","31,326,473","31,795,515","32,263,559","32,729,740","33,193,920","33,655,149","34,110,912","34,558,114","34,994,818","35,419,683","35,833,965","36,241,578","36,648,054","37,057,453","37,471,535","37,889,443","38,309,475","38,728,778","39,145,491","39,558,750","39,969,903","40,381,860","40,798,641","41,222,875","41,655,616","42,095,224","42,538,304","42,980,026","43,416,755",null,1965,Landslide,ARG,Argentina,1,45,null,null,null,null,null
Argentina,ARG,"Population, total",SP.POP.TOTL,"20,619,075","20,953,079","21,287,682","21,621,845","21,953,926","22,283,389","22,608,747","22,932,201","23,261,273","23,605,992","23,973,062","24,366,442","24,782,950","25,213,388","25,644,505","26,066,975","26,477,153","26,878,567","27,277,742","27,684,530","28,105,889","28,543,366","28,993,989","29,454,739","29,920,907","30,388,781","30,857,242","31,326,473","31,795,515","32,263,559","32,729,740","33,193,920","33,655,149","34,110,912","34,558,114","34,994,818","35,419,683","35,833,965","36,241,578","36,648,054","37,057,453","37,471,535","37,889,443","38,309,475","38,728,778","39,145,491","39,558,750","39,969,903","40,381,860","40,798,641","41,222,875","41,655,616","42,095,224","42,538,304","42,980,026","43,416,755",null,1966,Flood,ARG,Argentina,1,62,null,120000,null,120000,30000000
Argentina,ARG,"Population, total",SP.POP.TOTL,"20,619,075","20,953,079","21,287,682","21,621,845","21,953,926","22,283,389","22,608,747","22,932,201","23,261,273","23,605,992","23,973,062","24,366,442","24,782,950","25,213,388","25,644,505","26,066,975","26,477,153","26,878,567","27,277,742","27,684,530","28,105,889","28,543,366","28,993,989","29,454,739","29,920,907","30,388,781","30,857,242","31,326,473","31,795,515","32,263,559","32,729,740","33,193,920","33,655,149","34,110,912","34,558,114","34,994,818","35,419,683","35,833,965","36,241,578","36,648,054","37,057,453","37,471,535","37,889,443","38,309,475","38,728,778","39,145,491","39,558,750","39,969,903","40,381,860","40,798,641","41,222,875","41,655,616","42,095,224","42,538,304","42,980,026","43,416,755",null,1967,Flood,ARG,Argentina,1,56,null,142000,70000,212000,3000000
Argentina,ARG,"Population, total",SP.POP.TOTL,"20,619,075","20,953,079","21,287,682","21,621,845","21,953,926","22,283,389","22,608,747","22,932,201","23,261,273","23,605,992","23,973,062","24,366,442","24,782,950","25,213,388","25,644,505","26,066,975","26,477,153","26,878,567","27,277,742","27,684,530","28,105,889","28,543,366","28,993,989","29,454,739","29,920,907","30,388,781","30,857,242","31,326,473","31,795,515","32,263,559","32,729,740","33,193,920","33,655,149","34,110,912","34,558,114","34,994,818","35,419,683","35,833,965","36,241,578","36,648,054","37,057,453","37,471,535","37,889,443","38,309,475","38,728,778","39,145,491","39,558,750","39,969,903","40,381,860","40,798,641","41,222,875","41,655,616","42,095,224","42,538,304","42,980,026","43,416,755",null,1970,Flood,ARG,Argentina,1,36,null,null,null,null,25000000
Argentina,ARG,"Population, total",SP.POP.TOTL,"20,619,075","20,953,079","21,287,682","21,621,845","21,953,926","22,283,389","22,608,747","22,932,201","23,261,273","23,605,992","23,973,062","24,366,442","24,782,950","25,213,388","25,644,505","26,066,975","26,477,153","26,878,567","27,277,742","27,684,530","28,105,889","28,543,366","28,993,989","29,454,739","29,920,907","30,388,781","30,857,242","31,326,473","31,795,515","32,263,559","32,729,740","33,193,920","33,655,149","34,110,912","34,558,114","34,994,818","35,419,683","35,833,965","36,241,578","36,648,054","37,057,453","37,471,535","37,889,443","38,309,475","38,728,778","39,145,491","39,558,750","39,969,903","40,381,860","40,798,641","41,222,875","41,655,616","42,095,224","42,538,304","42,980,026","43,416,755",null,1972,Extreme temperature,ARG,Argentina,1,100,null,null,null,null,null
Argentina,ARG,"Population, total",SP.POP.TOTL,"20,619,075","20,953,079","21,287,682","21,621,845","21,953,926","22,283,389","22,608,747","22,932,201","23,261,273","23,605,992","23,973,062","24,366,442","24,782,950","25,213,388","25,644,505","26,066,975","26,477,153","26,878,567","27,277,742","27,684,530","28,105,889","28,543,366","28,993,989","29,454,739","29,920,907","30,388,781","30,857,242","31,326,473","31,795,515","32,263,559","32,729,740","33,193,920","33,655,149","34,110,912","34,558,114","34,994,818","35,419,683","35,833,965","36,241,578","36,648,054","37,057,453","37,471,535","37,889,443","38,309,475","38,728,778","39,145,491","39,558,750","39,969,903","40,381,860","40,798,641","41,222,875","41,655,616","42,095,224","42,538,304","42,980,026","43,416,755",null,1973,Storm,ARG,Argentina,1,60,300,null,null,300,null
Argentina,ARG,"Population, total",SP.POP.TOTL,"20,619,075","20,953,079","21,287,682","21,621,845","21,953,926","22,283,389","22,608,747","22,932,201","23,261,273","23,605,992","23,973,062","24,366,442","24,782,950","25,213,388","25,644,505","26,066,975","26,477,153","26,878,567","27,277,742","27,684,530","28,105,889","28,543,366","28,993,989","29,454,739","29,920,907","30,388,781","30,857,242","31,326,473","31,795,515","32,263,559","32,729,740","33,193,920","33,655,149","34,110,912","34,558,114","34,994,818","35,419,683","35,833,965","36,241,578","36,648,054","37,057,453","37,471,535","37,889,443","38,309,475","38,728,778","39,145,491","39,558,750","39,969,903","40,381,860","40,798,641","41,222,875","41,655,616","42,095,224","42,538,304","42,980,026","43,416,755",null,1974,Storm,ARG,Argentina,1,100,null,100000,null,100000,null
Argentina,ARG,"Population, total",SP.POP.TOTL,"20,619,075","20,953,079","21,287,682","21,621,845","21,953,926","22,283,389","22,608,747","22,932,201","23,261,273","23,605,992","23,973,062","24,366,442","24,782,950","25,213,388","25,644,505","26,066,975","26,477,153","26,878,567","27,277,742","27,684,530","28,105,889","28,543,366","28,993,989","29,454,739","29,920,907","30,388,781","30,857,242","31,326,473","31,795,515","32,263,559","32,729,740","33,193,920","33,655,149","34,110,912","34,558,114","34,994,818","35,419,683","35,833,965","36,241,578","36,648,054","37,057,453","37,471,535","37,889,443","38,309,475","38,728,778","39,145,491","39,558,750","39,969,903","40,381,860","40,798,641","41,222,875","41,655,616","42,095,224","42,538,304","42,980,026","43,416,755",null,1975,Storm,ARG,Argentina,1,20,null,null,null,null,null
Argentina,ARG,"Population, total",SP.POP.TOTL,"20,619,075","20,953,079","21,287,682","21,621,845","21,953,926","22,283,389","22,608,747","22,932,201","23,261,273","23,605,992","23,973,062","24,366,442","24,782,950","25,213,388","25,644,505","26,066,975","26,477,153","26,878,567","27,277,742","27,684,530","28,105,889","28,543,366","28,993,989","29,454,739","29,920,907","30,388,781","30,857,242","31,326,473","31,795,515","32,263,559","32,729,740","33,193,920","33,655,149","34,110,912","34,558,114","34,994,818","35,419,683","35,833,965","36,241,578","36,648,054","37,057,453","37,471,535","37,889,443","38,309,475","38,728,778","39,145,491","39,558,750","39,969,903","40,381,860","40,798,641","41,222,875","41,655,616","42,095,224","42,538,304","42,980,026","43,416,755",null,1977,Earthquake,ARG,Argentina,1,70,100,null,40000,40100,80000000
Argentina,ARG,"Population, total",SP.POP.TOTL,"20,619,075","20,953,079","21,287,682","21,621,845","21,953,926","22,283,389","22,608,747","22,932,201","23,261,273","23,605,992","23,973,062","24,366,442","24,782,950","25,213,388","25,644,505","26,066,975","26,477,153","26,878,567","27,277,742","27,684,530","28,105,889","28,543,366","28,993,989","29,454,739","29,920,907","30,388,781","30,857,242","31,326,473","31,795,515","32,263,559","32,729,740","33,193,920","33,655,149","34,110,912","34,558,114","34,994,818","35,419,683","35,833,965","36,241,578","36,648,054","37,057,453","37,471,535","37,889,443","38,309,475","38,728,778","39,145,491","39,558,750","39,969,903","40,381,860","40,798,641","41,222,875","41,655,616","42,095,224","42,538,304","42,980,026","43,416,755",null,1977,Flood,ARG,Argentina,1,null,null,2500,null,2500,null
Argentina,ARG,"Population, total",SP.POP.TOTL,"20,619,075","20,953,079","21,287,682","21,621,845","21,953,926","22,283,389","22,608,747","22,932,201","23,261,273","23,605,992","23,973,062","24,366,442","24,782,950","25,213,388","25,644,505","26,066,975","26,477,153","26,878,567","27,277,742","27,684,530","28,105,889","28,543,366","28,993,989","29,454,739","29,920,907","30,388,781","30,857,242","31,326,473","31,795,515","32,263,559","32,729,740","33,193,920","33,655,149","34,110,912","34,558,114","34,994,818","35,419,683","35,833,965","36,241,578","36,648,054","37,057,453","37,471,535","37,889,443","38,309,475","38,728,778","39,145,491","39,558,750","39,969,903","40,381,860","40,798,641","41,222,875","41,655,616","42,095,224","42,538,304","42,980,026","43,416,755",null,1978,Flood,ARG,Argentina,1,null,null,1600,null,1600,null
Australia,AUS,"Population, total",SP.POP.TOTL,"10,276,477","10,483,000","10,742,000","10,950,000","11,167,000","11,388,000","11,651,000","11,799,000","12,009,000","12,263,000","12,507,000","12,937,000","13,177,000","13,380,000","13,723,000","13,893,000","14,033,000","14,192,000","14,358,000","14,514,000","14,692,000","14,927,000","15,178,000","15,369,000","15,544,000","15,758,000","16,018,400","16,263,900","16,532,200","16,814,400","17,065,100","17,284,000","17,495,000","17,667,000","17,855,000","18,072,000","18,311,000","18,517,000","18,711,000","18,926,000","19,153,000","19,413,000","19,651,400","19,895,400","20,127,400","20,394,800","20,697,900","20,827,600","21,249,200","21,691,700","22,031,750","22,340,024","22,728,254","23,117,353","23,464,086","23,781,169",null,1967,Drought,AUS,Australia,1,600,null,null,null,null,600000000
Australia,AUS,"Population, total",SP.POP.TOTL,"10,276,477","10,483,000","10,742,000","10,950,000","11,167,000","11,388,000","11,651,000","11,799,000","12,009,000","12,263,000","12,507,000","12,937,000","13,177,000","13,380,000","13,723,000","13,893,000","14,033,000","14,192,000","14,358,000","14,514,000","14,692,000","14,927,000","15,178,000","15,369,000","15,544,000","15,758,000","16,018,400","16,263,900","16,532,200","16,814,400","17,065,100","17,284,000","17,495,000","17,667,000","17,855,000","18,072,000","18,311,000","18,517,000","18,711,000","18,926,000","19,153,000","19,413,000","19,651,400","19,895,400","20,127,400","20,394,800","20,697,900","20,827,600","21,249,200","21,691,700","22,031,750","22,340,024","22,728,254","23,117,353","23,464,086","23,781,169",null,1967,Wildfire,AUS,Australia,1,62,100,3000,null,3100,68500000
Australia,AUS,"Population, total",SP.POP.TOTL,"10,276,477","10,483,000","10,742,000","10,950,000","11,167,000","11,388,000","11,651,000","11,799,000","12,009,000","12,263,000","12,507,000","12,937,000","13,177,000","13,380,000","13,723,000","13,893,000","14,033,000","14,192,000","14,358,000","14,514,000","14,692,000","14,927,000","15,178,000","15,369,000","15,544,000","15,758,000","16,018,400","16,263,900","16,532,200","16,814,400","17,065,100","17,284,000","17,495,000","17,667,000","17,855,000","18,072,000","18,311,000","18,517,000","18,711,000","18,926,000","19,153,000","19,413,000","19,651,400","19,895,400","20,127,400","20,394,800","20,697,900","20,827,600","21,249,200","21,691,700","22,031,750","22,340,024","22,728,254","23,117,353","23,464,086","23,781,169",null,1968,Earthquake,AUS,Australia,1,null,16,3874,400,4290,2600000
